"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "CSS", "XML", "Svelte", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\utils\[slug]\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 10, 68
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\utils\[slug]\+page.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\webrings\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\webrings\ssgring\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 14, 159
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\webrings\ssgring\redirect\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\jbcarreon123\Documents\jbsite3\src\service-worker.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 18, 72
"c:\Users\jbcarreon123\Documents\jbsite3\static\archive\si-webring-v2\onionring-variables.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 12, 6, 60
"c:\Users\jbcarreon123\Documents\jbsite3\static\imgs\buttons\duducat.svg", "XML", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 4, 4, 106
"c:\Users\jbcarreon123\Documents\jbsite3\static\imgs\buttons\smil.svg", "XML", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 8, 5, 83
"c:\Users\jbcarreon123\Documents\jbsite3\static\imgs\copy\copied.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jbcarreon123\Documents\jbsite3\static\imgs\copy\ready.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jbcarreon123\Documents\jbsite3\static\lib\comment-widget-dark.css", "CSS", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 58, 11, 195
"c:\Users\jbcarreon123\Documents\jbsite3\static\lib\comment-widget.js", "JavaScript", 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 84, 73, 551
"c:\Users\jbcarreon123\Documents\jbsite3\static\lib\purify.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\static\lib\showdown.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Users\jbcarreon123\Documents\jbsite3\static\shiki\gruvbox-dark.json", "JSON", 0, 0, 0, 1130, 0, 0, 0, 0, 0, 0, 0, 1, 1131
"c:\Users\jbcarreon123\Documents\jbsite3\static\shiki\gruvbox-light.json", "JSON", 0, 0, 0, 1130, 0, 0, 0, 0, 0, 0, 0, 1, 1131
"c:\Users\jbcarreon123\Documents\jbsite3\static\webrings\ssgring\members.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 45
"c:\Users\jbcarreon123\Documents\jbsite3\static\webrings\ssgring\pmoring.config.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\Users\jbcarreon123\Documents\jbsite3\static\webrings\ssgring\pmoring.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 11, 89
"c:\Users\jbcarreon123\Documents\jbsite3\svelte.config.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 4, 15, 135
"c:\Users\jbcarreon123\Documents\jbsite3\tailwind.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"c:\Users\jbcarreon123\Documents\jbsite3\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"c:\Users\jbcarreon123\Documents\jbsite3\vite.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 708, 625, 1117, 11951, 511, 170, 3455, 15, 6, 48, 223, 1369, 20198
